Nombre_Actor,Año_nacimiento,Premios,Qué_hace,Conocido_por
Gabriel Mercado,No info,No info,Reparto,"An Hour to Kill, Killer Waves, Dysmorphia"
Frankie Pozos,No info,No info,Reparto,"An Hour to Kill, Headless Horseman, LA 143"
Kent Allen,No info,No info,Reparto,No info
Scott Mitchell,No info,No info,"Música, Composición, Reparto","Life Below Zero, Calls from the Inside, El libro de los secretos de EE. UU."
Eric Willis,No info,No info,"Reparto, Guion, Producción","My Neighbor Wants Me Dead, My Neighbor Wants Me Dead, The Daddy-O"
Bobby Friedman,No info,1 nominación,"Guion, Dirección, Producción","Under Cover Comic, Disservice, The Stranger"
Amita Sharma,No info,No info,Reparto,"Expecting, Under Cover Comic, Grease the Door"
Elon Gold,14 de septiembre de 1970,No info,"Reparto, Producción, Guion","Doce en casa, The In-laws, The Dana Carvey Show"
Tingna Guan,No info,No info,Reparto,No info
Yishan Jiang,No info,No info,Reparto,No info
Xiaobao Song,No info,2 premios y 2 nominaciones,"Reparto, Dirección, Guion","Ying tao, Fa cai ri ji, Tian qi yu bao"
Diana Lado,No info,No info,Reparto,"The Last Fitness Instructor, Vuelo 192, The Chicken Party"
Sergey A.,16 de abril de 1996,3 premios y 4 nominaciones,"Guion, Producción, Dirección de fotografía y cámara","Deadly Cruise, Punishment, Mezhzvyozdnyie voyny. Sila probuzhdayetsya"
Tres Dillon,No info,No info,Reparto,"Her Mind in Pieces, The Edge of Her Mind Anthology, Uncertainship"
Erikson Dockery,No info,No info,"Reparto, Guion, Equipos adicionales","Patrons, Freelancers Anonymous, Her Mind in Pieces"
Kaydee Dolan,No info,No info,Reparto,"Her Mind in Pieces, The Edge of Her Mind Anthology, Uncertainship"
Lindsay Coryne,No info,No info,Reparto,"Orange Is the New Black, Better Things, Eres lo peor"
Nicole DuBois,No info,No info,"Reparto, Guion, Producción","The Shrink Next Door, Magic Carpet Rides, Eres lo peor"
Lauren Ashley Hill,No info,No info,Reparto,"With 2 You Get Horror, My Life Worked Out, Good Samaritans"
Abdulrahman Al-Aqel,No info,No info,Reparto,"Muntasaf al-Lail, Al-Mukhayyam, My Aunt Qumasha"
Khalid Al-Farhan,No info,No info,"Producción, Reparto",No info
Essa Al-Marzouq,No info,1 nominación,Reparto,No info
Zizan Razak,No info,1 nominación,"Reparto, Producción, Dirección","Cicak-Man 3, Polis Evo, Abang Long Fadil 3"
Awie,No info,3 nominaciones,"Reparto, Producción, Dirección","Bara, Rebel, Dollah Superstar"
Julangtip Sukkasem,No info,No info,Reparto,No info
Hayley Tibbenham,No info,1 premio,"Guion, Dirección, Reparto","Inhuman, Aves, Uglies"
Mason Reeves,No info,No info,Reparto,"Inhuman, How to Cure Insomnia, Weiner Police"
Megumi Nakamura,No info,No info,Reparto,"Evil, Inhuman, High Maintenance"
David Beatty,1 de diciembre,3 premios y 4 nominaciones,"Reparto, Guion, Dirección","The White Room, Get Spy, The Human Project"
Jeff Elam,No info,No info,Reparto,"American Crime Story, Silicon Valley, Hacks"
Allyson Sereboff,No info,1 premio y 3 nominaciones,"Reparto, Producción, Equipos adicionales","A Place Among the Dead, Poultrygeist: Night of the Chicken Dead, The Hitchhiker Effect"
Shweta Tripathi,6 de julio de 1985,5 premios y 18 nominaciones,Reparto,"Masaan, Mirapur, Haraamkhor"
Alisha,No info,No info,Reparto,No info
Rebecca Harrod,No info,No info,Reparto,"Festival de la Canción de Eurovisión: La historia de Fire Saga, Última noche en el Soho, Guilt"
Tony Bond,No info,No info,Reparto,No info
Oengus MacNamara,No info,No info,Reparto,"Entre la razón y la locura, Juego de tronos, Britannia"
Marie Mouté,No info,No info,Reparto,"Promises, Welcome to New York, Le gendre idéal 2"
Erica Sturdefant,No info,No info,Reparto,"Zoombies 2, The Right Eye 2, Symmetry"
Barry Brewer,No info,No info,"Reparto, Producción, Dirección","Chicago I'm Home, Games People Play, Bruh"
Kelsey Keely,No info,No info,Reparto,"Riot for the dove, Du Ffunk Superheroes, Driver"
Chris Sparks,No info,No info,"Reparto, Producción, Arte","Dichotomy, The Fall, The Sound of Settling"
Cody Reiss,No info,No info,"Reparto, Producción, Guion","Cody Sucks, Nuva Ring Brunch, Wine Tasting"
Alan Trinca,No info,No info,"Reparto, Guion, Producción","Transformers: Rescue Bots Academy, Bull, Heartbreak Falls Part 1"
Samantha Ruston,No info,No info,Reparto,"Perfect: Android Rising, Assassinista, Dreams of You & Me"
